frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.802197682601747175e+01,8.903194648573956371e+00,-6.603644784077285397e-03,2.045991272745917797e+02,7.173145420690607565e-02,nan,nan,1.083337719790193354e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.236281286451761048e+02,1.240486306269358607e+01,-9.235808081644121884e-03,2.870958494712888296e+02,3.611593896103992840e-02,nan,nan,1.641572609841709252e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.794084356048519737e+02,1.750094053080357526e+01,-1.993106390849460480e-02,6.223043639224655408e+02,3.064470797215113063e-02,nan,nan,8.581637631611542361e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.114700269656533749e+02,1.880340276627973495e+01,-6.130679373515062619e-03,1.897755423853614332e+02,9.165040920699252247e-02,nan,nan,1.642770887049339734e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.741780446542702521e+02,2.430443337965439099e+01,-7.885862554443389197e-03,2.447861336413101014e+02,2.074595815721409497e-01,nan,nan,7.729204452842235007e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.844019482473181881e+02,3.603376429233644984e+01,-6.301886215827548141e-03,1.951414721213633925e+02,7.465063801596838466e-02,nan,nan,1.143729041248780476e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.244100579904015902e+01,3.736472988598546152e+01,-6.840473658258503821e-03,2.120217692738723656e+02,7.431460628440800242e-02,nan,nan,1.307578521130413662e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.620304006373956440e+02,6.780729776298559841e+01,-6.677829257778440664e-03,2.069242018335637283e+02,6.043753693204612087e-02,nan,nan,7.629012640813511048e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.193195912876175697e+02,7.427463139118634672e+01,-6.800405251703894524e-03,2.107659534939564594e+02,1.358060669234656404e-01,nan,nan,6.170041485608147802e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.044726599847560067e+02,7.449046375774192086e+01,-5.283746178717169291e-03,1.632311359061016560e+02,8.654177950476360515e-02,nan,nan,7.107253314552771428e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.252512528550775386e+02,7.597310216904622848e+01,-7.862434606630518130e-03,2.440518597061998491e+02,1.313118699331660144e-01,nan,nan,6.170041485608147802e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.679604329989204814e+01,8.589983350705379905e+01,-1.417421749538740755e-02,4.418744644135057911e+02,1.470345854406063246e-02,nan,nan,1.121428279805348893e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.752091202485400458e+02,8.631013388040851453e+01,-6.774680610515606757e-03,2.099596970661422404e+02,5.452698671732558733e-02,nan,nan,1.270369910536949298e+01,1.000000000000000000e+00
