frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,2.020345857076736706e+02,8.714055466448003884e+00,-9.270147133039981224e-03,2.881720969769511953e+02,4.186028424822774152e-02,nan,nan,1.086281970156578147e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.704314735501932603e+02,9.451618676950992892e+00,-2.169356028932591454e-02,6.775441639897834420e+02,1.722124305678651712e-01,nan,nan,5.528205297408809393e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.239888878615833789e+02,1.410014479890019601e+01,-1.138013189660425778e-02,3.543028066635167761e+02,1.653359903340023696e-02,nan,nan,2.263501974731480715e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.279884046734616447e+02,3.637901335708407657e+01,-6.110979359771137251e-03,1.891581085952139745e+02,9.954942144351808242e-02,nan,nan,3.962406428236881162e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.386964753765162186e+02,3.932609327616327732e+01,-1.014189228174440863e-02,3.154941546264391832e+02,2.860899088428237036e-02,nan,nan,7.167138068420374708e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.066414218714378421e+02,4.236429958640280091e+01,-1.587582693931267885e-02,4.952059585926639329e+02,1.372634916867032651e-02,nan,nan,9.057959839356927390e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.405439253965411694e+01,4.815322788655893760e+01,-1.240292698982433349e-02,3.863590406925831076e+02,9.775617321099927537e-02,nan,nan,2.675473626808318173e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.743522858987080895e+02,5.086632909675901715e+01,-1.749357353855475819e-02,5.459090406946345411e+02,9.154303833931010104e-03,nan,nan,1.436532705043264002e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.156045675822306293e+02,5.136556658504171224e+01,-1.564498648871178593e-02,4.879710045369690192e+02,1.030795333696199467e-02,nan,nan,1.270278664757025311e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.859016703031761892e+02,7.459326790450289479e+01,-1.789404872524798587e-02,5.584606518556296351e+02,7.738223613782624355e-03,nan,nan,1.204051424474144127e+01,1.000000000000000000e+00
