frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.262317292239924740e+02,4.915832408387769803e+00,-2.246035756718144788e-02,7.015034423454507078e+02,1.025864014440514005e-02,nan,nan,1.771289276803922164e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.943468645558029948e+02,3.259799418839320140e+01,-1.399497918921779015e-02,4.363634962726746380e+02,2.373761452797207294e-02,nan,nan,1.027071604343622901e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.474977995417419550e+02,3.400999079370301814e+01,-3.467181626864905553e-02,1.083972524885845132e+03,4.198062868991159213e-03,nan,nan,1.150771296278257338e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.450698095899243967e+01,3.749646582506699843e+01,-6.827470832862024552e-03,2.118734978070091586e+02,5.937727969587724974e-02,nan,nan,2.077393001940312445e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.403725012781208648e+01,4.948168715744962753e+01,-1.078645830461647838e-02,3.358709941854608587e+02,2.540881027641261891e-02,nan,nan,1.417703772124423622e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.290823772032010197e+02,5.635513283736015921e+01,-7.753355374305145875e-03,2.408726714324766078e+02,5.797191125591916183e-02,nan,nan,1.746543395753516137e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.785932494248867997e+01,7.768307520046161585e+01,-2.875343125932493856e-03,8.809085274347171435e+01,2.522472390185270807e-01,nan,nan,9.171529068260326767e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.481059569956330790e+02,8.354297168229517467e+01,-6.986491627298641038e-03,2.168541097748249058e+02,7.049145105894238927e-02,nan,nan,7.478001465313215412e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.363726491621069385e+02,8.458742810938844059e+01,-6.717443509593316354e-03,2.084273862151236756e+02,6.079371040217385058e-02,nan,nan,1.177970296503194270e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.909115426646218907e+02,8.678307887771208584e+01,-2.291791333885317018e-03,6.981371452637540642e+01,2.450810233738497379e-01,nan,nan,1.416974595722127006e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.275246207308701685e+01,9.641637181648303567e+01,-7.741759878172506902e-03,2.405094946101271205e+02,7.905153939339859548e-02,nan,nan,5.913897674654164049e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.250849383771109302e+02,1.015171368991277916e+02,-9.996887397585941040e-03,3.111412327543990841e+02,1.231441219715576629e-01,nan,nan,6.191744029915401626e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.171196154152863471e+02,1.038910864493110182e+02,-1.271874244769110110e-02,3.963911139742853607e+02,1.454464569745272939e-02,nan,nan,1.309013979964087149e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.874566512205175002e+02,1.048993430319529523e+02,-8.257263862778699975e-03,2.566553409711808058e+02,5.531607037030039642e-02,nan,nan,1.844275743474327456e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.945482478103360435e+01,1.272635089693207107e+02,-2.555529509733577356e-02,7.984384561399695031e+02,8.280328979826334646e-03,nan,nan,1.400318484902194704e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.092226875261595467e+02,1.359478217474449195e+02,-6.743103494867350514e-03,2.092310699736070490e+02,7.898966006336294310e-02,nan,nan,2.504058636348931444e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.420939949010194994e+02,2.384995373477943659e+01,-1.026099035322404658e-02,3.194130713290136896e+02,4.599614755791703313e-02,nan,nan,1.150771296278257338e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.878893984061413391e+01,2.636752947215939002e+01,-3.026406142517082485e-03,9.282222307124003180e+01,2.072923865562386059e-01,nan,nan,9.351490305880375331e+00,1.000000000000000000e+00
6.000000000000000000e+00,3.526331389569275387e+01,3.835134094571795060e+01,-2.604325654747458290e-03,7.960244803354949283e+01,3.276522248539452953e-01,nan,nan,1.453548606345820637e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.902113935181703823e+02,5.016174579759515950e+01,-3.249759125035981203e-03,9.981775181150405274e+01,2.020090326304426753e-01,nan,nan,7.970606658765317043e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.047958488801098298e+01,5.362633573061850711e+01,-9.109230927125826910e-03,2.833393817087805928e+02,3.722092656782294284e-02,nan,nan,1.417703772124423622e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.233578671937030293e+02,1.074631371732141503e+02,-9.076252957629274420e-03,2.823064949713529472e+02,1.934436243769925845e-01,nan,nan,6.191744029915401626e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.830640489440687873e+02,1.454699626234921652e+02,-9.685369890993460532e-03,3.013843463860753786e+02,3.847692791899659515e-02,nan,nan,1.701391702584018972e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.314633275925869782e+01,1.589698594635269160e+02,-1.029083501129196554e-02,3.203478211626758139e+02,5.825667670526224473e-02,nan,nan,1.327611666568102144e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.789547337680103567e+01,1.022240471938223578e+02,-9.022362537911722893e-03,2.806186196821697081e+02,4.593144551704320122e-02,nan,nan,8.935484620524301036e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.213857418906252406e+01,1.832408386245942111e+01,-4.982026460296587814e-03,1.540732436924365345e+02,1.307440917455110485e-01,nan,nan,9.556409601572832813e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.490280725841731879e+01,2.747197870287591925e+01,-5.035016565503870091e-03,1.557329206743447401e+02,2.123497277143885364e-01,nan,nan,9.556409601572832813e+00,1.000000000000000000e+00
8.000000000000000000e+00,3.880992523251061499e+01,1.015853729728857644e+02,-1.080559305860834783e-02,3.364703043893291579e+02,2.855886362994297656e-02,nan,nan,1.514276093719765193e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.153677874053304890e+02,4.483936100582034356e+01,-1.618960542663509458e-02,5.051003035668921370e+02,1.385296136358219465e-01,nan,nan,1.790818176700081210e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.023505897661881079e+02,5.883379686004528963e+01,-1.658735490165645990e-02,5.175580189399181563e+02,1.143099777827216723e-02,nan,nan,1.491859762771387388e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.428848691188461260e+02,6.705712331780695479e+01,-9.303814747449665190e-03,2.894338456918196698e+02,3.702847411736753802e-02,nan,nan,1.418164920838081677e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.245405385904188051e+02,6.995379917697832184e+01,-9.022482312248817152e-03,2.806223710751801832e+02,3.780848479298182241e-02,nan,nan,9.367647377526662211e+00,1.000000000000000000e+00
8.000000000000000000e+00,7.726305520758239709e+01,7.594850011999014328e+01,-9.147182097903900494e-03,2.845280316337137378e+02,4.104259933515463921e-02,nan,nan,1.987019557816455517e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.865418557998529892e+01,1.005451381932502386e+02,-1.020559135105550061e-02,3.176779464720209489e+02,3.493709775863540479e-02,nan,nan,8.738717734858274966e+00,1.000000000000000000e+00
