frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,7.859138090356969997e+01,1.007711287047094650e+01,-7.771379397536401501e-03,2.494742376703521529e+02,2.074481398998617721e-02,nan,1.290634260635134097e-05,2.415861253696725797e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,6.534525731735448062e+01,3.028054747080621567e+01,-6.634881633001027922e-03,2.128936744244234944e+02,3.669462915326393571e-02,nan,1.585756970390695154e-05,1.519824085232704114e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,3.277487561849907394e+01,3.628717255141995679e+01,-7.300710696615282137e-03,2.343247787631778749e+02,9.495887317820261853e-02,nan,5.479125463429273418e-05,1.057793923330428854e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,5.653790232920020031e+01,4.266671003707251231e+01,-7.278977705981051240e-03,2.336252568958879010e+02,2.476814600825438806e-02,nan,1.284375483107467687e-05,1.519824085232704114e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.800897131757751168e+01,2.684371160651551591e+01,-2.115015472679510154e-03,6.741230604850900932e+01,3.413575466720119023e-01,nan,2.881378470794620510e-05,1.057793923330428854e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,4.387395189771395110e+01,2.680632424691271964e+01,-6.625993372348027571e-03,2.126075871208586818e+02,2.932774516362068873e-02,nan,1.245874394576361152e-05,1.459712227889141545e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,6.371581462257438488e+00,4.333530951944995735e+01,-1.683460232670015320e-03,5.352179588306830027e+01,2.891995454899757290e-01,nan,1.308121798831982422e-05,5.551398002228355999e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.964035913137643519e+01,3.587240432812454571e+01,-6.503863092902615640e-03,2.086765680278978721e+02,2.613348272716098375e-02,nan,1.083597638727193918e-05,1.231060364824848996e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.019950715743426315e+02,3.819061388063535389e+01,-3.238679641156188855e-03,1.035797930993518747e+02,9.000696500916471887e-02,nan,1.008577946331347482e-05,9.630779284454103362e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.366879021748591470e+02,5.109133442055263430e+01,-1.313927182039123683e-03,4.162759991376021418e+01,3.710298759780517042e-01,nan,1.188433660746735487e-05,3.701379588106546237e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
