frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,9.795184000011900594e+01,5.384573095185201552e+00,-1.016521287835284518e-02,3.164132722192135247e+02,4.396615696039352095e-02,nan,nan,2.009872381659249641e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.380008414003186346e+01,9.898009192785407251e+00,-2.215739821662244310e-03,6.743174257553285145e+01,3.351324840772904601e-01,nan,nan,1.494994170923943244e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.625902099840062647e+02,1.701003956449936894e+01,-1.914645120117937013e-02,5.977102135088940713e+02,1.638691916862877740e-02,nan,nan,1.050136834889052118e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.614790369845717066e+01,1.941440106366371410e+01,-2.899838501112361397e-02,9.062777792400227099e+02,7.290657767989983107e-03,nan,nan,1.081465655002661919e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.383977119621716554e+02,3.972441467729803577e+01,-2.100626810175716327e-02,6.559606224933359044e+02,2.426056610449101036e-01,nan,nan,5.972815023698346160e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.013478853162947928e+02,3.923064808987302854e+01,-1.075836316026568783e-02,3.349910400091104634e+02,6.199818959274350227e-02,nan,nan,5.540844393111678201e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.422632880983452708e+02,4.427763776020993447e+01,-2.191627210013416885e-02,6.844624094522938549e+02,2.486158543673380183e-01,nan,nan,5.972815023698346160e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.764839680047624597e+02,4.982997969921716219e+01,-9.652979798789948149e-03,3.003698722637506648e+02,3.899154880337096785e-02,nan,nan,1.578700393975029925e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.162170336887441948e+02,5.073759958970317285e+01,-2.718233996055478482e-02,8.493983268073982345e+02,5.585578893286480273e-03,nan,nan,1.526681033363604101e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.085991404284149837e+02,5.721363960871267551e+01,-2.081297371004053529e-02,6.499065440685218391e+02,6.045472788144712339e-03,nan,nan,1.103089528121569529e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.639547658277850672e+01,9.816087083207877129e+01,-1.772913494899779757e-02,5.533191493540173269e+02,5.384045360655731471e-02,nan,nan,4.005523130727391745e+00,1.000000000000000000e+00
