frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,5.429437621727401364e+01,1.084802750871312682e+01,-6.503875337956882205e-03,1.963685971297532831e+02,5.342755555971423487e-02,nan,2.388414174198528255e-05,1.455334523269467795e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,4.716134417341029561e+00,1.393541181661984041e+01,-1.099608165418578974e-03,3.351630520282779457e+01,3.703413500852934526e-01,nan,8.774981246694418572e-06,4.967427907717766544e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.114058297044019241e+02,1.954533805825735726e+01,-7.986786789073961612e-03,2.410546795955230834e+02,2.278404771950370833e-02,nan,1.451017256548858799e-05,1.125972899690907170e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.049758379917084028e+02,5.119953898543664650e+01,-9.185158614632241494e-03,2.771664394590083589e+02,6.536459062758437355e-02,nan,5.666049042513399825e-05,5.862105864033476443e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,5.800372376556866527e+01,4.775139817357101890e+01,-7.834869460469885694e-03,2.364767998651674361e+02,2.368339658198048703e-02,nan,1.390500484822565516e-05,1.235166307933837260e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.367266526343210842e+01,3.618396487674318251e+01,-7.908819157494173177e-03,2.387052014713838446e+02,2.001284337474018571e-02,nan,1.212616150522166053e-05,1.213962082837769962e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.002072100585387489e+02,2.071683927939300318e+01,-1.593779123383309501e-02,4.806504019406177122e+02,7.371123470977236636e-03,nan,2.028074626059824767e-05,1.066636357125303647e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.027444399202817635e+02,4.577873205214994812e+01,-8.437162521088652917e-03,2.546263106502494793e+02,7.296743606259536996e-02,nan,5.418079638818862380e-05,5.862105864033476443e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.267791882446607232e+00,4.566111247050862687e+01,-8.895801562363279263e-03,2.684469484266863901e+02,2.058533251166483335e-02,nan,1.594761102510350835e-05,4.540494583737952894e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.426455866296836916e+02,5.304364162225568613e+00,-8.053791423235503316e-03,2.430737985425619456e+02,3.103303580309313414e-02,nan,1.949338134171705190e-05,1.973368954659836305e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.022147701447134125e+02,1.024110473070610894e+01,-2.073069348509121602e-03,6.285060339847602506e+01,2.188443016046350831e-01,nan,1.288788788656753768e-05,1.066636357125303647e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
